EMP_CODE,ORG_NAME,ORG_CITY,EMP_PER_OUTLET,ORG_TYPE,EXPANSION,RECONCILIATION,WHY_NO_POS,LANGUAGE_PREF,PAYMENT_PREF,PAYMENT_AMOUNT,INTERNET_ACCESS,INTERNET_PROVIDER,INTERNET_DISRUPTION,DEPLOYMENT_PREF,BUSINESS_IMPROVEMENT,STORE_CUST_DATA,OFFER_DISCOUNTS,COMPETITIVE_ADVANTAGE,ORG_CITY_CLEAN
36750,Uber PWD,Islamabad,More than 10,Chain,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,Nayatel,Sometimes,Web-based,Yes,Yes,Yes,Yes,ISL
32117,M.Safeer Electronic,Karachi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (.),Yes,Fariya,Sometimes,Web-based,No,No,Yes,No,KHI
36575,Sabir electronics,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Yearly plan, (5000),Yes,Tp link,Sometimes,Web-based,Yes,Yes,Yes,Yes,KHI
36575,Sufyain electronics,Karachi,More than 5 but less than 10,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (15000),Yes,Tp link,Little,Standalone,Yes,Yes,Yes,No,KHI
36575,Man pasand cold spot,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Yearly plan, (7000),Yes,Fariya,Little,Web-based,No,Yes,Yes,No,KHI
32117,Shahid Motiwala,Karachi,Less than 5,Single Outlet,Yes,Yes,I don't know,"Both, English & Urdu",Onetime payment, (.),No,No internet,No internet,Web-based,Yes,No,No,Yes,KHI
32117,Saad Motiwala Shop Name,Karachi,More than 5 but less than 10,Chain,Yes,No,Don’t want to spend money,"Both, English & Urdu",Yearly plan, (No need),Yes,Tp link,A lot,Web-based,No,No,Yes,No,KHI
36575,NM electronics,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (_),No,Not available,No internet,Web-based,Yes,Yes,Yes,Yes,KHI
32117,Quality Corner,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (1000),No,3G,Little,Web-based,Yes,No,No,No,KHI
36575,Sabir solar,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Depend on the offer ),No,Mobile data,Never,Standalone,Yes,Yes,Yes,No,KHI
36575,Sanghani brothers,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (1000),Yes,PTCL,Sometimes,Standalone,Yes,Yes,Yes,Yes,KHI
32117,Arsalan Shabbir,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Monthly recurring, (Negotiate),Yes,Zong 4G,Little,Web-based,Yes,Yes,No,Yes,KHI
35804,Fatima communaction,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Monthly recurring, (8000),No,Not avilable,No internet,Standalone,Yes,No,Yes,Yes,KHI
36575,Hussain electronics,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Onetime payment, (Depend on the price ),Yes,Ptcl,Sometimes,Standalone,Yes,Yes,Yes,No,KHI
32117,MAX Power,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring,,No,Ptcl,A lot,Web-based,No,No,No,No,KHI
32117,Active Electronic,Karachi,Less than 5,Single Outlet,Yes,No,It never crossed my mind to have such a system,"Both, English & Urdu",Monthly recurring, (Depend on the System),No,No internet,No internet,Web-based,Yes,No,No,No,KHI
36575,QWeletronics,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,Urdu,Onetime payment, (Depend on the offer ),No,Mobile data,Never,Web-based,Yes,Yes,Yes,Yes,KHI
32117,J.FRAGRANCE,Karachi,Less than 5,Chain,Yes,Yes,I am happy with how my business is managed presently,English,Monthly recurring, (Depend on System),No,Mobile Data,A lot,Web-based,Yes,Yes,Yes,No,KHI
35918,Shoaib Optics,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,English,Onetime payment, (0),No,No internet,No internet,Standalone,No,No,Yes,Yes,KHI
35804,Al syed medical store,Karachi,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Monthly recurring, (5000),No,Not available,No internet,Web-based,Yes,No,Yes,Yes,KHI
36607,Snow white,Karachi,Less than 5,Multiple outlets,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (400),Yes,Ptcl,A lot,Standalone,Yes,Yes,Yes,No,KHI
36575,Asif electronics,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (Depend on the offer ),Yes,Ptcl,Never,Web-based,Yes,Yes,Yes,Yes,KHI
36575,Pro light and sounds,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (-),Yes,Ptcl,Never,Web-based,Yes,Yes,Yes,Yes,KHI
35918,Mega city,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,English,Onetime payment, (0),Yes,Local,A lot,Standalone,No,No,Yes,No,KHI
32117,Amin Electronic,Karachi,Less than 5,Single Outlet,Yes,Yes,I don't know,"Both, English & Urdu",Monthly recurring, (3000),No,Sky Net,Little,Web-based,Yes,No,No,No,KHI
36607,M Afzal Garments,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Onetime payment, (12000),Yes,Local,Little,Standalone,Yes,No,No,No,KHI
32117,Imran,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Depend on System),No,Mobile data,Sometimes,Web-based,Yes,No,No,No,KHI
35804,Rayan electronic,Karachi,Less than 5,Single Outlet,Yes,Yes,I don't know,"Both, English & Urdu",Onetime payment, (50000),No,Not available,No internet,Standalone,Yes,No,No,No,KHI
35804,Shaheen precast,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (20000),No,Not available,No internet,Standalone,Yes,No,No,No,KHI
35804,Ro- safe water technology,Karachi,More than 5 but less than 10,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (10000),No,Not available,No internet,Web-based,Yes,Yes,Yes,Yes,KHI
35804,New marhaba electric store,Karachi,More than 5 but less than 10,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Onetime payment, (10000),No,Not available,No internet,Standalone,Yes,No,Yes,No,KHI
36575,Banyas,Karachi,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan,,Yes,No,Sometimes,Web-based,Yes,Yes,Yes,Yes,KHI
36575,Dang dang,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Yearly plan, (Depend on the machineee ),Yes,Mobile data,Sometimes,Web-based,Yes,Yes,Yes,Yes,KHI
35804,Mashallah battery,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (5000),No,Not available,No internet,Standalone,No,Yes,Yes,No,KHI
37344,Mansoor Play store,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (20000),No,No,No internet,Web-based,Yes,No,Yes,Yes,KHI
36607,A.M Garments,Karachi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (12000),No,N/A,No internet,Standalone,Yes,No,Yes,Yes,KHI
36607,Designer view,Karachi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,English,Monthly recurring, (1000),No,N/A,No internet,Standalone,Yes,No,Yes,No,KHI
35804,Abeera traders,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (5000),No,Not available,No internet,Web-based,Yes,No,Yes,No,KHI
36607,Max-II,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,Urdu,Monthly recurring, (700),No,N/A,No internet,Standalone,No,No,Yes,No,KHI
35804,Subhanallah mini mart,Karachi,Less than 5,Multiple outlets,Yes,No,It never crossed my mind to have such a system,"Both, English & Urdu",Monthly recurring, (2000),No,Not available,No internet,Web-based,Yes,Yes,No,Yes,KHI
37344,M&S studio,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (15000),Yes,PTCL Charji,A lot,Web-based,Yes,Yes,No,Yes,KHI
35804,Qadir communication,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (3000),Yes,Delta network,Sometimes,Standalone,No,No,Yes,No,KHI
36607,Fashion world,Karachi,Less than 5,Single Outlet,Yes,No,I don't know,English,Onetime payment, (10000),Yes,Ptcl,A lot,Standalone,Yes,Yes,Yes,No,KHI
37344,Al Noor Parda Cloth House,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (15000),No,Not Availible,Never,Web-based,Yes,Yes,Yes,Yes,KHI
32117,Time Zone,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,English,Monthly recurring, (Depend on System),No,Mobile Data,A lot,Web-based,Yes,No,No,No,KHI
37344,Bin Saeed Outlet,Karachi,Less than 5,Multiple outlets,Yes,Yes,I have reservations with technology,"Both, English & Urdu",Onetime payment, (15000),No,Not availible,A lot,Web-based,Yes,Yes,Yes,Yes,KHI
37472,hashim med str,isb,Less than 5,Single Outlet,Yes,No,I don't know,English,Onetime payment, (0000),Yes,zong,Little,Standalone,No,No,Yes,No,ISL
32117,Armitron,Karachi,More than 10,Chain,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Depend on System),No,No internet,No internet,Standalone,No,No,No,No,KHI
36575,Mahal al mushk,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Yearly plan,,Yes,No net,No internet,Web-based,Yes,Yes,Yes,Yes,KHI
37344,Maymar Time Medicos,Karachi,Less than 5,Single Outlet,Yes,Yes,I have reservations with technology,"Both, English & Urdu",Onetime payment, (15000),No,Not Availible,No internet,Web-based,Yes,No,Yes,Yes,KHI
30859,Ch furniture,Islamabad,More than 5 but less than 10,Multiple outlets,Yes,No,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (5000),Yes,Sim data,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
37344,Three Brothers Gift,Karachi,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Onetime payment, (15000),No,Not availible,No internet,Web-based,Yes,Yes,Yes,Yes,KHI
769,Pishawari Ice Cream,Karachi,More than 5 but less than 10,Multiple outlets,No,No,I am happy with how my business is managed presently,Urdu,Onetime payment, (25000),No,No internet,No internet,Standalone,Yes,No,Yes,No,KHI
36585,izat wali,rawar pindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yerly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
37344,Sameer Brothers,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (25000),Yes,Ptcl,Sometimes,Web-based,No,No,Yes,Yes,KHI
36585,mosin ali,rawalpindi,Less than 5,Single Outlet,Yes,No,I have reservations with technology,English,Yearly plan,,Yes,wafi,Never,Web-based,No,No,Yes,No,RWP
36585,mehertaj,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yerly),No,no,No internet,Standalone,Yes,No,Yes,Yes,RWP
37344,Bin anwar cosmetics,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (15000),Yes,Connect,Sometimes,Web-based,Yes,Yes,Yes,Yes,KHI
769,Rahbar School,Karachi,More than 10,Single Outlet,No,No,I have reservations with technology,English,Onetime payment, (Depands on POS system),Yes,Fariya Net,Little,Standalone,Yes,Yes,Yes,No,KHI
36585,suliman shah,rawal pindi,Less than 5,Single Outlet,Yes,Yes,Tax purposes,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
37344,Computer smart,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (25000),No,No internet,No internet,Web-based,Yes,Yes,Yes,Yes,KHI
36585,tahar asim,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,data,Never,Web-based,Yes,Yes,Yes,Yes,RWP
769,Warsi Book Center,Karachi,Less than 5,Multiple outlets,No,No,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (20000),Yes,Fariya,A lot,Standalone,No,No,Yes,No,KHI
36585,abdul razak,rawar pindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,abdul hadi,rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Never,Web-based,No,No,Yes,Yes,RWP
37344,IR Communication,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (15000),No,Not availible,No internet,Web-based,Yes,Yes,Yes,Yes,KHI
36585,muhammad waseem,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,No,RWP
36585,mushtaq,rawal pindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yesrly),Yes,data,Sometimes,Web-based,Yes,No,Yes,No,RWP
36585,muhammad jhangir,rawal pindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),No,no,No internet,Web-based,Yes,No,Yes,No,RWP
34243,Khayaban pharmacy,Rawalpindi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,English,Monthly recurring, (12000),Yes,PTCL,Little,Web-based,Yes,No,Yes,No,RWP
36585,subhan,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,No,Yes,RWP
34243,Taskeen tada,Rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (30000),No,"NA",No internet,Web-based,Yes,No,Yes,Yes,RWP
34243,Basheer arts,Rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (30000),Yes,Sim Data,Never,Web-based,Yes,No,Yes,Yes,RWP
769,Ideal Optics,Karachi,Less than 5,Single Outlet,No,No,I have reservations with technology,English,Yearly plan, (Not sure),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
36585,sajid,رول pindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (yerly),Yes,wafi,Never,Web-based,Yes,Yes,Yes,Yes,RWP
36585,محمّد youcf,rawalindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),No,no,No internet,Web-based,No,No,Yes,Yes,RWP
34243,Akbar khattak super Store,Rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (10000),No,"NA",No internet,Web-based,Yes,No,Yes,No,RWP
36585,akhtar,رول pindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (yearly),No,no,No internet,Standalone,No,No,Yes,No,RWP
34243,Abdullah juices,Rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,Urdu,Yearly plan, (15000),No,"NA",No internet,Web-based,Yes,No,Yes,Yes,RWP
36585,عامر khan,رول pindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,No,No,Yes,No,RWP
34243,Pakistan stationary,Rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (8000),No,"NA",No internet,Web-based,Yes,No,Yes,No,RWP
37472,itihaat khatak,rawalindi,Less than 5,Chain,Yes,Yes,I am happy with how my business is managed presently,English,Monthly recurring, (one time pyment),No,not use net,Never,Web-based,Yes,No,Yes,No,RWP
34243,Kamran sweets,Rawalpindi,Less than 5,Multiple outlets,Yes,No,I don't know,English,Yearly plan, (10000),No,"NA",No internet,Web-based,Yes,No,Yes,Yes,RWP
34243,Sulehri medical store,Rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (5000),No,"NA",No internet,Web-based,Yes,Yes,Yes,Yes,RWP
37472,almadina jernal store,rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Monthly recurring, (i dont now),No,not use net,Never,Standalone,Yes,No,Yes,No,RWP
30859,Shani mobile network,Islamabad,Less than 5,Multiple outlets,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (4000),Yes,Ptcl device,Little,Web-based,Yes,No,Yes,No,ISL
37472,al saad chemist,rawalindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Monthly recurring, (monthly recurring),No,not use internet,Never,Standalone,Yes,No,Yes,No,RWP
30859,Rehman traders,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (2000),No,No access,No internet,Web-based,Yes,No,Yes,Yes,ISL
36585,محمّد saifulllah,رول pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,No,RWP
30859,Chaudhary general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (4000),Yes,Sim data,Little,Web-based,Yes,No,Yes,Yes,ISL
37472,midina jrnal store,rawalpindi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,Urdu,Yearly plan, (i will thinking),No,not use net,Never,Standalone,No,No,Yes,No,RWP
36585,malik faizan,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,No,Yes,RWP
30859,Satti general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (1000),Yes,Ptcl,Little,Web-based,Yes,No,Yes,Yes,ISL
30859,Rehman traders,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (2000),No,No internet connection,No internet,Web-based,Yes,No,Yes,Yes,ISL
30859,Chaudhary general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (3000),Yes,Sim data,Little,Web-based,Yes,No,Yes,Yes,ISL
30859,Shani mobile zone,Islamabad,Less than 5,Multiple outlets,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (3000),Yes,Ptcl device,Little,Web-based,Yes,No,Yes,Yes,ISL
30859,Bajwa autos,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (4000),Yes,Sim data,Little,Web-based,Yes,Yes,Yes,Yes,RWP
769,Sunset Lab,Karachi,Less than 5,Multiple outlets,No,No,I am happy with how my business is managed presently,English,Onetime payment, (Not confirmed),Yes,Five Star Cable Net,Little,Standalone,No,No,Yes,No,KHI
30859,Bismillah general store,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (2000),Yes,Sim data,Little,Web-based,Yes,No,Yes,Yes,ISL
30859,Friends sofa center,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (3000),Yes,Sim data,Never,Web-based,Yes,Yes,Yes,Yes,ISL
37472,abbaasi treder,rawalpindi,Less than 5,Single Outlet,No,Yes,I am happy with how my business is managed presently,Urdu,Monthly recurring, (monthly  recurring),No,not use net,No internet,Standalone,Yes,No,Yes,No,RWP
30859,Awan garments,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (4000),Yes,Sim data,Never,Web-based,Yes,Yes,Yes,Yes,ISL
30859,Khan autos and spare parts,Mansehra,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (5000),Yes,Sim data,Never,Web-based,Yes,Yes,Yes,Yes,MNS
30859,Ideal mobile zone,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (4000),Yes,Ptcl device,Never,Web-based,Yes,No,Yes,Yes,ISL
30859,Ch photostate,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (5000),Yes,Witribe device,Never,Web-based,Yes,Yes,Yes,Yes,ISL
30859,Awan gaming zone,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (2000),Yes,Sim data,Sometimes,Web-based,No,No,Yes,No,ISL
769,Ambala Sweets and Bakers,Karachi,Less than 5,Multiple outlets,No,No,I have reservations with technology,English,Onetime payment, (Not have right to communicate),No,No,No internet,Standalone,No,No,No,No,KHI
36585,arif khan,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36585,siraj khan,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Never,Web-based,Yes,No,Yes,Yes,RWP
36585,usman,islamabad,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,No,ISL
36585,adnan babar,islamabad,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,No,No,Yes,Yes,ISL
34314,New Shop College Book Depot,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (50000),Yes,nayatel,Sometimes,Standalone,Yes,No,No,No,RWP
34314,Hamdani Book Shop,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),Yes,PTCL,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
36585,muzambil mehmood,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Never,Web-based,Yes,No,Yes,No,RWP
10182,Fragrance Gallery,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Monthly recurring, (1000),Yes,Local Internet,Sometimes,Standalone,Yes,No,Yes,Yes,KHI
34314,Ayan school bag & leather Jacket,Rawalpindi,More than 5 but less than 10,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Yearly plan, (40000),No,Na,No internet,Standalone,No,No,No,No,RWP
10182,Global trading agency,Karachi,More than 5 but less than 10,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,English,Monthly recurring, (1500),Yes,Local Internet,Little,Standalone,Yes,No,Yes,Yes,KHI
34314,Malik Hardware & Paint Store,Rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,"Both, English & Urdu",Yearly plan, (50000),No,N/A,No internet,Standalone,Yes,No,No,No,RWP
10182,Haris Traders,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,English,Yearly plan, (18000),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
34314,Universal Paint & hardware Store,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),Yes,PTCL,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
36585,faizan ali,rawalpindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Never,Web-based,Yes,Yes,Yes,No,RWP
34314,Yanba Botique,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
36585,shameer ali,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Yearly plan, (yearly),Yes,wafi,Sometimes,Web-based,No,No,Yes,No,RWP
34314,Zubair old books,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (25000),No,"NA",No internet,Standalone,No,No,No,No,RWP
34314,Husnain Shop & garments,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,No,Yes,Yes,No,RWP
36585,azaaz ahmad,rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,English,Monthly recurring, (monthly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
34314,Butt Brother School College Uniform,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
34314,Chinar Fabrics,Rawalpindi,More than 5 but less than 10,Single Outlet,Yes,No,I am happy with how my business is managed presently,English,Yearly plan, (25000),No,"NA",No internet,Standalone,Yes,No,No,No,RWP
34314,Jameel Stationary and Binding,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
34314,Lass corner and fabrics,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
34314,Bin Aslam Fabrics,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I don't know,English,Yearly plan, (30000),No,"NA",No internet,Standalone,Yes,No,No,No,RWP
34314,Al Mustafa book Center,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
34314,malik Sports and Toys,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (50000),No,No Internet,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
